Año	Mes	Nro. Edicto	Proceso	Expediente	Sentencia	Fecha Radicación	Fecha Decisión	Fijación Edicto	Acumulada
2015	Agosto	105	D	10581	C-492/15	01/12/2014	05/08/2015	19/08/2015	05/12/2014
2015	Agosto	106	D	10645	C-532/15	28/01/2015	19/08/2015	27/08/2015	
2015	Agosto	107	D	10588	C-531/15	03/12/2014	19/08/2015	28/08/2015	
2015	Agosto	108	D	10629	C-495/15	16/01/2015	05/08/2015	28/08/2015	
2015	Agosto	109	D	10546	C-493/15	18/11/2014	05/08/2015	28/08/2015	
2015	Agosto	110	D	10562	C-494/15	26/11/2014	05/08/2015	28/08/2015	
2015	Septiembre	111	D	10702	C-533/15	24/03/2015	19/08/2015	07/09/2015	
2015	Septiembre	112	D	10613	C-530/15	18/12/2014	19/08/2015	07/09/2015	
2015	Septiembre	113	D	10649	C-561/15	30/01/2015	02/09/2015	08/09/2015	
2015	Septiembre	114	D	10621	C-551/15	13/01/2015	26/08/2015	11/09/2015	
2015	Septiembre	114	D	10627	C-551/15	16/01/2015	26/08/2015	11/09/2015	23/01/2015
2015	Septiembre	115	D	10617	C-585/15	13/01/2015	08/09/2015	21/09/2015	
2015	Septiembre	115	D	10622	C-585/15	13/01/2015	08/09/2015	21/09/2015	23/01/2015
2015	Septiembre	116	D	10120	C-034/15	10/02/2014	28/01/2015	22/09/2015	
2015	Septiembre	117	D	10643	C-562/15	26/01/2015	02/09/2015	22/09/2015	
2015	Septiembre	118	D	10652	C-552/15	06/02/2015	26/08/2015	24/09/2015	
2015	Septiembre	118	D	10653	C-552/15	06/02/2015	26/08/2015	24/09/2015	13/02/2015
2015	Septiembre	119	D	10585	C-458/15	02/12/2014	22/07/2015	25/09/2015	
2015	Septiembre	120	D	10608	C-583/15	15/12/2014	08/09/2015	25/09/2015	
2015	Septiembre	121	D	10665	C-602/15	18/02/2015	16/09/2015	25/09/2015	
2015	Septiembre	122	D	10672	C-601/15	20/02/2015	16/09/2015	28/09/2015	
2015	Octubre	123	D	10624	C-563/15	14/01/2015	02/09/2015	01/10/2015	
2015	Octubre	124	D	10539	C-450/15	10/11/2014	16/07/2015	01/10/2015	
2015	Octubre	125	D	10671	C-612/15	20/02/2015	23/09/2015	01/10/2015	
2015	Octubre	126	D	10400	C-143/15	29/07/2014	06/04/2015	02/10/2015	
2015	Octubre	127	D	10666	C-613/15	18/02/2015	24/09/2015	02/10/2015	
2015	Octubre	128	D	10673	C-619/15	20/02/2015	30/09/2015	05/10/2015	
2015	Octubre	129	D	10655	C-617/15	10/02/2015	30/09/2015	06/10/2015	
2015	Octubre	130	D	10628	C-584/15	16/01/2015	08/09/2015	07/10/2015	23/01/2015
2015	Octubre	131	D	10339	C-516/15	08/07/2014	12/08/2015	08/10/2015	01/08/2014
2015	Octubre	132	D	10679	C-618/15	24/02/2015	30/09/2015	09/10/2015	
2015	Octubre	133	D	10685	C-651/15	04/03/2015	14/10/2015	23/10/2015	
2015	Octubre	134	D	10701	C-654/15	24/03/2015	14/10/2015	23/10/2015	
2015	Octubre	135	D	10619	C-600/15	13/01/2015	16/09/2015	26/10/2015	
2015	Octubre	136	D	10675	C-634/15	23/02/2015	07/10/2015	27/10/2015	
2015	Octubre	137	LAT	437	C-620/15	13/01/2015	30/09/2015	30/10/2015	
2015	Octubre	138	D	10651	C-653/15	04/02/2015	14/10/2015	30/10/2015	
2015	Noviembre	139	D	10451	C-496/15	04/09/2014	05/08/2015	03/11/2015	
2015	Noviembre	140	OG	142	C-656/15	31/01/2012	21/10/2015	04/11/2015	
2015	Noviembre	141	D	9385	C-616/15	30/10/2012	28/09/2015	05/11/2015	
2015	Noviembre	142	D	10392	C-622/15	23/07/2014	30/09/2015	05/11/2015	
2015	Noviembre	143	D	10609	C-621/15	16/12/2014	30/09/2015	06/11/2015	
2015	Noviembre	144	RE	210	C-670/15	08/09/2015	28/10/2015	09/11/2015	
2015	Noviembre	145	RE	214	C-672/15	08/09/2015	28/10/2015	09/11/2015	
2015	Noviembre	146	D	10715	C-673/15	09/04/2015	28/10/2015	20/11/2015	
2015	Noviembre	147	D	10347	C-144/15	14/07/2014	06/04/2015	20/11/2015	
2015	Noviembre	148	RE	217	C-703/15	15/09/2015	18/11/2015	23/11/2015	
2015	Noviembre	149	D	10693	C-669/15	11/03/2015	28/10/2015	25/11/2015	
2015	Noviembre	150	D	10706	C-704/15	06/04/2015	18/11/2015	25/11/2015	
2015	Noviembre	151	D	10852	C-705/15	01/06/2015	18/11/2015	26/11/2015	
2015	Diciembre	152	D	10915	C-674/15	23/07/2015	28/10/2015	01/12/2015	
2015	Diciembre	153	RE	216	C-701/15	15/09/2015	18/11/2015	01/12/2015	
2015	Diciembre	154	RE	211	C-700/15	08/09/2015	18/11/2015	04/12/2015	
2015	Diciembre	155	RE	215	C-722/15	10/09/2015	25/11/2015	04/12/2015	
2015	Diciembre	156	D	10806	C-727/15	19/05/2015	25/11/2015	04/12/2015	
2015	Diciembre	157	D	10742	C-726/15	23/04/2015	25/11/2015	07/12/2015	
2015	Diciembre	158	D	10664	C-637/15	17/02/2015	07/10/2015	07/12/2015	
2015	Diciembre	159	D	10662	C-657/15	16/02/2015	21/10/2015	07/12/2015	
2015	Diciembre	160	D	10698	C-652/15	13/03/2015	14/10/2015	09/12/2015	
2015	Diciembre	161	RE	219	C-724/15	15/09/2015	25/11/2015	11/12/2015	
2015	Diciembre	162	RE	220	C-742/15	07/10/2015	02/12/2015	14/12/2015	
2015	Diciembre	163	OG	139	C-729/15	13/10/2011	25/11/2015	15/12/2015	
2015	Diciembre	164	D	10813	C-741/15	20/05/2015	02/12/2015	15/12/2015	
2015	Diciembre	165	RE	213	C-671/15	08/09/2015	28/10/2015	15/12/2015	
2015	Diciembre	166	D	10686	C-744/15	06/03/2015	02/12/2015	16/12/2015	
2015	Diciembre	167	D	9344	C-623/15	09/10/2012	30/09/2015	18/12/2015	
2016	Enero	1	D	10812	C-728/15	20/05/2015	25/11/2015	12/01/2015	
2016	Enero	2	D	10315	C-071/15	13/06/2014	18/02/2015	12/01/2015	
2016	Enero	3	D	10849	C-754/15	28/05/2015	10/12/2015	14/01/2016	
2016	Enero	4	D	10704	C-720/15	06/04/2015	25/11/2015	21/01/2016	
2016	Enero	5	D	10708	C-750/15	06/04/2015	10/12/2015	22/01/2016	
2016	Enero	5	D	10748	C-750/15	28/04/2015	10/12/2015	22/01/2016	04/05/2015
2016	Enero	6	D	10796	C-725/15	15/05/2015	25/11/2015	26/01/2016	
2016	Enero	7	D	10838	C-743/15	22/05/2015	02/12/2015	26/01/2016	
2016	Enero	8	D	10786	C-745/15	14/05/2015	02/12/2015	28/01/2016	
2016	Enero	9	RE	222	C-753/15	07/10/2015	10/12/2015	29/01/2016	
2016	Febrero	10	RE	212	C-702/15	08/09/2015	18/11/2015	02/02/2016	
2016	Febrero	11	D	10872	C-016/16	18/06/2015	27/01/2016	05/02/2016	
2016	Febrero	12	RE	218	C-723/15	15/09/2015	25/11/2015	05/02/2016	
2016	Febrero	13	RE	221	C-751/15	07/10/2015	10/12/2015	09/02/2016	
2016	Febrero	14	D	10678	C-668/15	24/02/2015	28/10/2015	11/02/2016	
2016	Febrero	15	D	10837	C-006/16	22/05/2015	21/01/2016	11/02/2016	
2016	Febrero	16	D	10862	C-027/16	09/06/2015	03/02/2016	11/02/2016	
2016	Febrero	17	D	10858	C-007/16	05/06/2015	21/01/2016	12/02/2016	
2016	Febrero	18	D	10371	C-683/15	21/07/2014	04/11/2015	15/02/2016	
2016	Febrero	19	D	10744	C-721/15	23/04/2015	25/11/2015	17/02/2016	
2016	Febrero	20	D	10610	C-699/15	18/12/2014	18/11/2015	18/02/2016	
2016	Febrero	21	D	10888	C-054/16	03/07/2015	10/02/2016	18/02/2016	
2016	Febrero	22	D	10864	C-035/16	10/06/2015	08/02/2016	19/02/2016	
2016	Febrero	23	D	10887	C-052/16	03/07/2015	10/02/2016	19/02/2016	
2016	Febrero	24	D	10882	C-055/16	30/07/2015	10/02/2016	29/02/2016	
2016	Marzo	25	D	10980	C-089/16	01/09/2015	24/02/2016	02/03/2016	
2016	Marzo	26	D	9818	C-694/15	29/07/2013	11/11/2015	03/03/2016	
2016	Marzo	27	D	10931	C-105/16	03/08/2015	02/03/2016	03/03/2016	
2016	Marzo	28	D	10688	C-017/16	09/03/2015	27/01/2016	04/03/2016	
2016	Marzo	29	D	10890	C-053/16	07/07/2015	10/02/2016	04/03/2016	
2016	Marzo	29	D	10907	C-053/16	17/07/2015	10/02/2016	04/03/2016	23/07/2015
2016	Marzo	30	D	10884	C-066/16	01/07/2015	17/02/2016	04/03/2016	
2016	Marzo	31	D	10896	C-056/16	09/07/2015	10/02/2016	08/03/2016	
2016	Marzo	32	D	10467	C-752/15	16/09/2014	10/12/2015	10/03/2016	
2016	Marzo	33	LAT	439	C-106/16	29/04/2015	02/03/2016	10/03/2016	
2016	Marzo	34	D	10903	C-084/16	15/07/2015	24/02/2016	10/03/2016	
2016	Marzo	35	D	10902	C-086/16	13/07/2015	24/02/2016	11/03/2016	
2016	Marzo	36	D	10691	C-015/16	11/03/2015	27/01/2016	17/03/2016	
2016	Marzo	37	D	10863	C-087/16	10/06/2015	24/02/2016	17/03/2016	
2016	Marzo	37	D	10869	C-087/16	16/06/2015	24/02/2016	17/03/2016	26/06/2015
2016	Marzo	38	D	10875	C-026/16	19/06/2015	03/02/2016	18/03/2016	
2016	Marzo	39	D	10877	C-088/16	22/06/2015	24/02/2016	18/03/2016	
2016	Abril	40	D	10934	C-134/16	03/08/2015	16/03/2016	01/04/2016	
2016	Abril	41	D	10951	C-135/16	14/08/2015	17/03/2016	01/04/2016	
2016	Abril	42	D	10953	C-136/16	14/08/2015	17/03/2016	01/04/2016	
2016	Abril	43	D	10865	C-068/16	11/06/2015	17/02/2016	06/04/2016	
2016	Abril	44	D	10874	C-067/16	19/06/2015	17/02/2016	08/04/2016	
2016	Abril	45	D	10905	C-085/16	15/07/2015	24/02/2016	12/04/2016	
2016	Abril	46	D	10960	C-158/16	19/08/2015	06/04/2016	15/04/2016	
2016	Abril	47	D	10983	C-183/16	03/09/2015	13/04/2016	18/04/2016	
2016	Abril	48	LAT	440	C-157/16	21/07/2015	06/04/2016	21/04/2016	
2016	Abril	49	D	10835	C-104/16	22/05/2015	02/03/2016	21/04/2016	
2016	Abril	50	D	11007	C-182/16	14/09/2015	13/04/2016	22/04/2016	
2016	Abril	51	D	10950	C-156/16	12/08/2015	06/04/2016	25/04/2016	
2016	Abril	52	D	10943	C-160/16	10/08/2015	06/04/2016	25/04/2016	
2016	Abril	53	D	10969	C-159/16	26/08/2015	06/04/2016	26/04/2016	
2016	Abril	54	D	10957	C-178/16	18/08/2015	13/04/2016	27/04/2016	
2016	Abril	55	D	10985	C-193/16	04/09/2015	20/04/2016	28/04/2016	
2016	Abril	56	PE	44	C-154/16	02/07/2015	31/03/2016	28/04/2016	
2016	Abril	57	D	10894	C-126/16	09/07/2015	09/03/2016	29/04/2016	
2016	Abril	58	D	10940	C-180/16	06/08/2015	13/04/2016	29/04/2016	
2016	Abril	59	D	10946	C-181/16	11/08/2015	13/04/2016	29/04/2016	
2016	Abril	60	D	10911	C-155/16	22/07/2015	31/03/2016	29/04/2016	
2016	Mayo	61	D	10973	C-179/16	31/08/2015	13/04/2016	03/05/2016	
